lac;superficie_km2;altitude_m;contenu_m3;profondeur_m
Lac Léman ;345.4 ;372 ;89.900 ;310 
Bodensee ;172.6 ;396 ;49.000 ;252 
Lac de Neuchâtel;215.0 ;429 ;14.170 ;153 
Lago Maggiore ;40.8 ;193 ;37.100 ;372 
Vierwaldstättersee;113.7 ;434 ;11.800 ;214 
Zürichsee;88.1 ;406 ;3.900 ;143 
Lago di Lugano ;30.0 ;271 ;6.560 ;288 
Thunersee;47.7 ;558 ;6.500 ;217 
Bielersee;39.4 ;429 ;1.240 ;74 
Zugersee;38.4 ;413 ;3.210 ;198 
Brienzersee;29.7 ;564 ;5.170 ;261 
Walensee;24.2 ;419 ;2.490 ;150 
Lac de Morat;22.7 ;429 ;600 ;46 
Sempachersee;14.4 ;504 ;660 ;87 
Sihlsee;10.7 ;889 ;97 ;23 
